,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
130,0,0.0,renault,gas,std,four,wagon,fwd,front,-0.44,0.61,0.28,0.61,0.05,ohc,four,0.12,mpfi,0.48,2.06,-0.36,0.0,0.0,-0.34,0.04,-0.5
131,2,0.0,renault,gas,std,two,hatchback,fwd,front,-0.44,0.22,0.32,-1.32,-0.18,ohc,four,0.12,mpfi,0.48,2.06,-0.36,0.0,0.0,-0.34,0.04,-0.42
132,3,0.89,saab,gas,std,two,hatchback,fwd,front,0.06,1.02,0.28,0.97,0.2,ohc,four,-0.14,mpfi,0.78,-0.59,-0.21,0.15,0.26,-0.65,-0.4,-0.17
133,2,-0.57,saab,gas,std,four,sedan,fwd,front,0.06,1.02,0.28,0.97,0.27,ohc,four,-0.14,mpfi,0.78,-0.59,-0.21,0.15,0.26,-0.65,-0.4,-0.13
134,3,0.89,saab,gas,std,two,hatchback,fwd,front,0.06,1.02,0.28,0.97,0.29,ohc,four,-0.14,mpfi,-2.92,-3.79,-0.21,0.15,0.26,-0.65,-0.4,0.23
135,2,-0.57,saab,gas,std,four,sedan,fwd,front,0.06,1.02,0.28,0.97,0.39,ohc,four,-0.14,mpfi,0.78,-0.59,-0.21,0.15,0.26,-0.65,-0.4,0.29
136,3,0.89,saab,gas,turbo,two,hatchback,fwd,front,0.06,1.02,0.28,0.97,0.49,dohc,four,-0.14,mpfi,0.78,-0.59,-0.29,1.41,0.79,-0.95,-0.69,0.63
137,2,-0.57,saab,gas,turbo,four,sedan,fwd,front,0.06,1.02,0.28,0.97,0.56,dohc,four,-0.14,mpfi,0.78,-0.59,-0.29,1.41,0.79,-0.95,-0.69,0.69
138,2,-1.23,subaru,gas,std,two,hatchback,fwd,front,-0.84,-1.39,-1.17,-0.01,-0.97,ohcf,four,-0.72,2bbl,1.07,-2.86,-0.29,-0.89,-0.47,0.89,0.76,-1.03
139,2,-1.23,subaru,gas,std,two,hatchback,fwd,front,-0.84,-1.31,-1.08,-0.01,-0.84,ohcf,four,-0.46,2bbl,1.07,-1.97,-0.36,-0.79,-1.52,0.12,0.04,-0.78
140,2,-1.23,subaru,gas,std,two,hatchback,4wd,front,-0.91,-1.36,-0.98,0.81,-0.61,ohcf,four,-0.46,2bbl,1.07,-1.97,-0.36,-0.79,-1.52,0.12,0.04,-0.71
141,0,-0.63,subaru,gas,std,four,sedan,fwd,front,-0.26,-0.17,-0.24,-0.5,-0.79,ohcf,four,-0.46,2bbl,1.07,-1.97,-0.16,-0.56,-0.68,1.04,0.91,-0.77
142,0,-0.63,subaru,gas,std,four,sedan,fwd,front,-0.26,-0.17,-0.24,-0.5,-0.7,ohcf,four,-0.46,2bbl,1.07,-1.97,-0.16,-0.56,-1.52,0.43,0.33,-0.69
143,0,-0.63,subaru,gas,std,four,sedan,fwd,front,-0.26,-0.17,-0.24,-0.5,-0.42,ohcf,four,-0.46,mpfi,1.07,-1.97,-0.29,-0.26,0.16,0.12,0.18,-0.41
144,0,-0.63,subaru,gas,std,four,sedan,4wd,front,-0.29,-0.17,-0.24,0.24,-0.33,ohcf,four,-0.46,2bbl,1.07,-1.97,-0.29,-0.56,-0.68,-0.19,-0.84,-0.51
145,0,-0.63,subaru,gas,turbo,four,sedan,4wd,front,-0.29,-0.17,-0.24,0.24,-0.09,ohcf,four,-0.46,mpfi,1.07,-1.97,-0.62,0.17,-0.68,-0.19,-0.25,-0.25
146,0,-1.04,subaru,gas,std,four,wagon,fwd,front,-0.29,-0.04,-0.24,-0.3,-0.51,ohcf,four,-0.46,2bbl,1.07,-1.97,-0.29,-0.56,-0.68,0.43,0.18,-0.73
147,0,-1.04,subaru,gas,std,four,wagon,fwd,front,-0.29,-0.04,-0.24,-0.3,-0.19,ohcf,four,-0.46,mpfi,1.07,-1.97,-0.29,-0.26,0.16,-0.03,0.04,-0.38
148,0,-1.17,subaru,gas,std,four,wagon,4wd,front,-0.31,-0.04,-0.24,0.48,-0.26,ohcf,four,-0.46,2bbl,1.07,-1.97,-0.29,-0.56,-0.68,-0.34,-0.25,-0.66
149,0,-1.17,subaru,gas,turbo,four,wagon,4wd,front,-0.31,-0.04,-0.24,0.48,0.18,ohcf,four,-0.46,mpfi,1.07,-1.97,-0.62,0.17,-0.68,-0.34,-1.13,-0.19
150,1,-1.11,toyota,gas,std,two,hatchback,fwd,front,-0.51,-1.25,-1.08,0.32,-1.1,ohc,four,-0.84,2bbl,-1.04,-0.72,-0.29,-1.07,-0.68,1.5,1.2,-1.0
151,1,-1.11,toyota,gas,std,two,hatchback,fwd,front,-0.51,-1.25,-1.08,0.32,-0.99,ohc,four,-0.84,2bbl,-1.04,-0.72,-0.29,-1.07,-0.68,0.89,1.06,-0.88
152,1,-1.52,toyota,gas,std,four,hatchback,fwd,front,-0.51,-1.25,-1.08,0.32,-1.04,ohc,four,-0.84,2bbl,-1.04,-0.72,-0.29,-1.07,-0.68,0.89,1.06,-0.86
153,0,-1.42,toyota,gas,std,four,wagon,fwd,front,-0.51,-0.35,-1.08,2.21,-0.53,ohc,four,-0.84,2bbl,-1.04,-0.72,-0.29,-1.07,-0.68,0.89,0.91,-0.8
154,0,-1.3,toyota,gas,std,four,wagon,4wd,front,-0.51,-0.35,-1.08,2.21,-0.51,ohc,four,-0.84,2bbl,-1.04,-0.72,-0.29,-1.07,-0.68,0.27,0.18,-0.68
155,0,-0.98,toyota,gas,std,four,wagon,4wd,front,-0.51,-0.35,-1.08,2.21,1.07,ohc,four,-0.84,2bbl,-1.04,-0.72,-0.29,-1.07,-0.68,0.27,0.18,-0.56
156,0,-0.98,toyota,gas,std,four,sedan,fwd,front,-0.51,-0.63,-0.7,-0.3,-0.91,ohc,four,-0.7,2bbl,-0.52,-0.72,-0.29,-0.87,-0.68,0.73,0.91,-0.8
157,0,-0.98,toyota,gas,std,four,hatchback,fwd,front,-0.51,-0.63,-0.7,-0.38,-0.86,ohc,four,-0.7,2bbl,-0.52,-0.72,-0.29,-0.87,-0.68,0.73,0.91,-0.77
158,0,-0.98,toyota,diesel,std,four,sedan,fwd,front,-0.51,-0.63,-0.7,-0.3,-0.54,ohc,four,-0.41,idi,-0.22,0.3,3.12,-1.22,-1.31,1.35,0.76,-0.68
159,0,-0.98,toyota,diesel,std,four,hatchback,fwd,front,-0.51,-0.63,-0.7,-0.38,-0.54,ohc,four,-0.41,idi,-0.22,0.3,3.12,-1.22,-1.31,1.96,2.37,-0.69
160,0,-0.98,toyota,gas,std,four,sedan,fwd,front,-0.51,-0.63,-0.7,-0.3,-0.89,ohc,four,-0.7,2bbl,-0.52,-0.72,-0.29,-0.87,-0.68,1.96,2.37,-0.7
161,0,-0.98,toyota,gas,std,four,hatchback,fwd,front,-0.51,-0.63,-0.7,-0.38,-0.83,ohc,four,-0.7,2bbl,-0.52,-0.72,-0.29,-0.87,-0.68,0.43,0.47,-0.62
162,0,-0.98,toyota,gas,std,four,sedan,fwd,front,-0.51,-0.63,-0.7,-0.38,-0.8,ohc,four,-0.7,2bbl,-0.52,-0.72,-0.29,-0.87,-0.68,0.43,0.47,-0.5
163,1,1.46,toyota,gas,std,two,sedan,rwd,front,-0.71,-0.43,-0.89,-0.46,-0.74,ohc,four,-0.7,2bbl,-0.52,-0.72,-0.29,-0.87,-0.68,0.58,0.47,-0.66
164,1,1.46,toyota,gas,std,two,hatchback,rwd,front,-0.71,-0.43,-0.89,-0.46,-0.68,ohc,four,-0.7,2bbl,-0.52,-0.72,-0.29,-0.87,-0.68,0.58,0.47,-0.63
165,1,1.46,toyota,gas,std,two,sedan,rwd,front,-0.71,-0.43,-0.89,-0.46,-0.56,dohc,four,-0.7,mpfi,-0.33,-0.56,-0.19,0.2,3.1,0.12,-0.25,-0.5
166,1,1.46,toyota,gas,std,two,hatchback,rwd,front,-0.71,-0.43,-0.89,-0.46,-0.49,dohc,four,-0.7,mpfi,-0.33,-0.56,-0.19,0.2,3.1,0.12,-0.25,-0.47
167,2,0.38,toyota,gas,std,two,hardtop,rwd,front,-0.06,0.17,-0.14,-0.71,-0.03,ohc,four,0.46,mpfi,1.07,0.78,-0.21,0.3,-0.68,-0.19,-0.11,-0.61
168,2,0.38,toyota,gas,std,two,hardtop,rwd,front,-0.06,0.17,-0.14,-0.71,-0.04,ohc,four,0.46,mpfi,1.07,0.78,-0.21,0.3,-0.68,-0.19,-0.11,-0.45
169,2,0.38,toyota,gas,std,two,hatchback,rwd,front,-0.06,0.17,-0.14,-0.71,-0.01,ohc,four,0.46,mpfi,1.07,0.78,-0.21,0.3,-0.68,-0.19,-0.11,-0.41
170,2,0.38,toyota,gas,std,two,hardtop,rwd,front,-0.06,0.17,-0.14,-0.71,0.24,ohc,four,0.46,mpfi,1.07,0.78,-0.21,0.3,-0.68,-0.19,-0.11,-0.26
171,2,0.38,toyota,gas,std,two,hatchback,rwd,front,-0.06,0.17,-0.14,-0.71,0.31,ohc,four,0.46,mpfi,1.07,0.78,-0.21,0.3,-0.68,-0.19,-0.11,-0.21
172,2,0.38,toyota,gas,std,two,convertible,rwd,front,-0.06,0.17,-0.14,-0.3,0.81,ohc,four,0.46,mpfi,1.07,0.78,-0.21,0.3,-0.68,-0.19,-0.11,0.57
173,-1,-1.8,toyota,gas,std,four,sedan,fwd,front,0.61,0.13,0.28,0.48,-0.44,ohc,four,-0.12,mpfi,-0.07,0.91,-0.36,-0.31,-1.94,0.58,0.47,-0.54
174,-1,-1.8,toyota,diesel,turbo,four,sedan,fwd,front,0.61,0.13,0.28,0.48,-0.15,ohc,four,-0.41,idi,-0.22,0.3,3.12,-0.79,-1.31,0.73,0.33,-0.32
175,-1,-1.8,toyota,gas,std,four,hatchback,fwd,front,0.61,0.13,0.28,0.07,-0.27,ohc,four,-0.12,mpfi,-0.07,0.91,-0.36,-0.31,-1.94,0.27,0.18,-0.41
176,-1,-1.8,toyota,gas,std,four,sedan,fwd,front,0.61,0.13,0.28,0.48,-0.27,ohc,four,-0.12,mpfi,-0.07,0.91,-0.36,-0.31,-1.94,0.27,0.18,-0.29
177,-1,-1.8,toyota,gas,std,four,hatchback,fwd,front,0.61,0.13,0.28,0.07,-0.19,ohc,four,-0.12,mpfi,-0.07,0.91,-0.36,-0.31,-1.94,0.27,0.18,-0.25
178,3,2.37,toyota,gas,std,two,hatchback,rwd,front,0.69,0.77,0.84,-0.71,0.81,dohc,six,1.06,mpfi,-0.22,0.3,-0.21,1.44,0.16,-0.8,-0.98,0.43
179,3,2.37,toyota,gas,std,two,hatchback,rwd,front,0.69,0.77,0.84,-0.71,0.89,dohc,six,1.06,mpfi,-0.22,0.3,-0.21,1.44,0.16,-0.95,-0.98,0.36
180,-1,-1.01,toyota,gas,std,four,sedan,rwd,front,0.96,1.12,0.28,0.15,1.11,dohc,six,1.06,mpfi,-0.22,0.3,-0.24,1.31,0.16,-0.8,-0.98,0.32
181,-1,0.0,toyota,gas,std,four,wagon,rwd,front,0.96,1.12,0.28,0.15,1.15,dohc,six,0.82,mpfi,-0.22,0.3,-0.24,1.31,0.16,-0.95,-0.98,0.32
182,2,0.0,volkswagen,diesel,std,two,sedan,fwd,front,-0.24,-0.19,-0.19,0.81,-0.57,ohc,four,-0.72,idi,-1.18,0.46,3.24,-1.33,-0.68,1.81,2.22,-0.69
183,2,0.0,volkswagen,gas,std,two,sedan,fwd,front,-0.24,-0.19,-0.19,0.81,-0.67,ohc,four,-0.43,mpfi,-0.52,0.46,-0.29,-0.49,0.26,0.27,0.47,-0.67
184,2,-0.89,volkswagen,diesel,std,four,sedan,fwd,front,-0.24,-0.19,-0.19,0.81,-0.56,ohc,four,-0.72,idi,-1.18,0.46,3.24,-1.33,-0.68,1.81,2.22,-0.66
185,2,-0.89,volkswagen,gas,std,four,sedan,fwd,front,-0.24,-0.19,-0.19,0.81,-0.66,ohc,four,-0.43,mpfi,-0.52,0.46,-0.29,-0.49,0.26,0.27,0.47,-0.64
186,2,-0.89,volkswagen,gas,std,four,sedan,fwd,front,-0.24,-0.19,-0.19,0.81,-0.54,ohc,four,-0.43,mpfi,-0.52,0.46,-0.29,-0.49,0.26,0.27,0.47,-0.6
187,2,-0.89,volkswagen,diesel,turbo,four,sedan,fwd,front,-0.24,-0.19,-0.19,0.81,-0.46,ohc,four,-0.72,idi,-1.18,0.46,3.24,-0.92,-1.31,1.81,1.64,-0.47
188,2,-0.89,volkswagen,gas,std,four,sedan,fwd,front,-0.24,-0.19,-0.19,0.81,-0.49,ohc,four,-0.43,mpfi,-0.52,0.46,-0.04,-0.11,0.79,0.12,0.18,-0.41
189,3,0.0,volkswagen,gas,std,two,convertible,fwd,front,-0.71,-1.2,-0.8,0.77,-0.58,ohc,four,-0.43,mpfi,-0.52,0.46,-0.41,-0.36,0.79,-0.19,-0.25,-0.21
190,3,4.24,volkswagen,gas,std,two,hatchback,fwd,front,-0.71,-0.68,-0.89,-0.95,-0.64,ohc,four,-0.43,mpfi,-0.52,0.46,-0.41,-0.36,0.79,-0.19,-0.25,-0.41
191,0,0.0,volkswagen,gas,std,four,sedan,fwd,front,0.27,0.5,0.46,0.56,0.2,ohc,five,0.22,mpfi,-0.52,0.46,-0.41,0.15,0.79,-0.95,-0.98,0.01
192,0,0.0,volkswagen,diesel,turbo,four,sedan,fwd,front,0.27,0.5,0.46,0.56,0.05,ohc,four,-0.72,idi,-1.18,0.46,3.24,-0.92,-1.31,1.19,1.06,0.08
193,0,0.0,volkswagen,gas,std,four,wagon,fwd,front,0.27,0.74,0.46,0.56,0.01,ohc,four,-0.43,mpfi,-0.52,0.46,-0.29,-0.41,0.79,-0.03,0.04,-0.12
194,-2,-0.6,volvo,gas,std,four,sedan,rwd,front,0.92,1.2,0.6,1.02,0.69,ohc,four,0.34,mpfi,1.67,-0.34,-0.16,0.25,0.58,-0.34,-0.4,-0.03
195,-1,-1.52,volvo,gas,std,four,wagon,rwd,front,0.92,1.2,0.6,1.55,0.92,ohc,four,0.34,mpfi,1.67,-0.34,-0.16,0.25,0.58,-0.34,-0.4,0.03
196,-2,-0.6,volvo,gas,std,four,sedan,rwd,front,0.92,1.2,0.6,1.02,0.73,ohc,four,0.34,mpfi,1.67,-0.34,-0.16,0.25,0.58,-0.19,-0.4,0.35
197,-1,-1.52,volvo,gas,std,four,wagon,rwd,front,0.92,1.2,0.6,1.55,0.94,ohc,four,0.34,mpfi,1.67,-0.34,-0.16,0.25,0.58,-0.19,-0.4,0.42
198,-2,-0.6,volvo,gas,turbo,four,sedan,rwd,front,0.92,1.2,0.6,1.02,0.94,ohc,four,0.07,mpfi,1.07,-0.34,-0.67,1.46,-0.05,-1.26,-1.27,0.66
199,-1,-1.52,volvo,gas,turbo,four,wagon,rwd,front,0.92,1.2,0.6,1.55,1.16,ohc,four,0.07,mpfi,1.07,-0.34,-0.67,1.46,-0.05,-1.26,-1.27,0.73
200,-1,-0.85,volvo,gas,std,four,sedan,rwd,front,1.72,1.2,1.4,0.73,0.76,ohc,four,0.34,mpfi,1.67,-0.34,-0.16,0.25,0.58,-0.34,-0.4,0.46
201,-1,-0.85,volvo,gas,turbo,four,sedan,rwd,front,1.72,1.2,1.35,0.73,0.95,ohc,four,0.34,mpfi,1.67,-0.34,-0.36,1.41,0.37,-0.95,-0.84,0.74
202,-1,-0.85,volvo,gas,std,four,sedan,rwd,front,1.72,1.2,1.4,0.73,0.88,ohcv,six,1.11,mpfi,0.93,-1.23,-0.34,0.75,0.79,-1.11,-1.13,1.05
203,-1,-0.85,volvo,diesel,turbo,four,sedan,rwd,front,1.72,1.2,1.4,0.73,1.27,ohc,six,0.44,idi,-1.18,0.46,3.24,0.04,-0.68,0.12,-0.55,1.18
204,-1,-0.85,volvo,gas,turbo,four,sedan,rwd,front,1.72,1.2,1.4,0.73,0.98,ohc,four,0.34,mpfi,1.67,-0.34,-0.16,0.25,0.58,-0.95,-0.84,1.2
